Aba	Nigeria	48.488	101.67	192.683	344.171	483.74	630.237	824.63	1118.388	1675.276
Abakaliki	Nigeria	9.215	28.266	45	72	115	197	336	566.24	867.274
Abeokuta	Nigeria	78.617	146.348	217.621	272.711	341.725	398.799	460	562.795	836.846
Abidjan	Coted'Ivoire	65	191.849	548.246	1383.516	2102.049	3027.833	4150.288	5748.336	7772.628
Abomey-Calavi	Benin	11.817	20.898	36.952	65.349	115.553	266.474	540.985	994.949	1407.379
Abuja	Nigeria	18.977	23.331	47.619	125.463	330.473	832.556	1813.724	3210.529	4912.792
AbuZaby(AbuDhabi)	UnitedArabEmirates	4	15.966	62.487	229.255	330.844	504.964	878.589	1322.894	1607.821
AcapulcodeJuarez	Mexico	28.021	49.556	178.324	303.668	657.742	794.083	864.051	944.116	1074.991
Acarigua-Aruare	Venezuela(BolivarianRepublicof)	21.358	41.186	73.367	124.619	170.373	228.027	280.484	338.626	395.323
Accra	Ghana	177.147	392.582	630.67	863.134	1197.161	1668.24	2060.076	2516.627	3262.379
Adan(Aden)	Yemen	72	121	206.285	263.834	326.061	494.741	731.115	1037.075	1438.126
Adana	Turkey	137.709	271.787	402.167	568.377	906.979	1123.39	1557.997	2049.457	2350.675
Ad-Dammam	SaudiArabia	20	34.823	84.239	195.932	408.962	639.014	908.789	1165.94	1321.315
Ad-Dawhah(Doha)	Qatar	17.854	31.288	77.911	152.684	234.519	297.755	528.503	764.47	836.742
AddisAbaba	Ethiopia	392	519.177	729.246	1175.232	1790.86	2376.701	2918.813	3777.553	5850.804
Adelaide	Australia	429.277	571.822	850.168	971.856	1081.618	1141.623	1217.99	1320.783	1505.422
Ado-Ekiti	Nigeria	19.502	48.983	123	144	167	237	337	489.368	739.62
Agadir	Morocco	10.68	16.77	54.097	187.345	403.028	609.514	629.05	592.012	696.256
Agartala	India	40.175	53.962	95.865	129.76	155.542	187.015	380.292	725.631	954.556
Agra	India	368.747	498.538	624.258	739.177	933.164	1292.579	1714.339	2223.914	2793.02
Aguadilla-Isabela-SanSebastian	PuertoRico	156.487	183.248	214.577	250.82	273.512	312.444	306.136	301.944	313.895
Aguascalientes	Mexico	93.553	126.914	184.864	294.537	552.717	763.366	933.968	1122.995	1287.006
Ahmadabad	India	854.959	1180.775	1694.534	2483.901	3254.881	4426.936	6209.893	8452.103	10526.6
Ahmadnagar	India	102.494	118.054	145.987	178.801	219.101	337.222	377.614	420.643	529.293
Ahvaz	Iran(IslamicRepublicof)	85.144	146.282	245.978	409.64	685.49	867.969	1077.207	1354.955	1574.538
Aizawl	India	6.625	13.592	29.904	70.354	147.834	223.811	287.21	361.878	461.22
Ajman	UnitedArabEmirates	0.231	1.101	5.471	31.112	72.083	146.668	253.578	368.601	452.871
Ajmer	India	192.884	228.763	261.676	366.851	400.836	483.781	547.056	623.276	782.94
Akesu	China	17.822	28.62	45.953	73.794	118.486	190.271	281.174	396.485	474.942
Akola	India	87.488	113.807	163.801	221.054	319.942	394.743	425.281	464.571	582.958
Akron	UnitedStatesofAmerica	368.807	460.186	542.084	516.019	528.879	570.197	569.481	573.344	636.569
Aktyubinsk	Kazakhstan	72.128	102.479	151.825	198.332	252.852	263.94	360.48	452.805	507.78
Akure	Nigeria	33.754	58.986	94.788	146.057	225.028	325.195	465	678.28	1024.506
Al-Ain	UnitedArabEmirates	1.5	4.38	16.123	95.923	169.173	272.83	395.672	471.937	567.812
Albany	UnitedStatesofAmerica	416.129	456.195	486.612	490.481	510.293	559.816	595.889	631.902	703.97
Al-Basrah(Basra)	Iraq	115.708	204.318	329.276	371.83	474.193	758.612	923.237	1144.257	1490.779
Albuquerque	UnitedStatesofAmerica	196.62	242.476	299.988	420.008	499.419	601.391	745.294	894.331	1002.767
Al-Fayyum	Egypt	62.905	101	145.726	182.128	228.866	279.587	338.798	408.135	506.835
AlGadarif	Sudan	11.381	24.719	53.675	100.743	167.101	225.393	283.236	364.036	510.305
Al-Hasakah	SyrianArabRepublic	10.796	18.672	32.29	67.263	102.352	185.447	392.352	742.513	955.994
Al-Hudaydah	Yemen	64.193	73.216	83.505	116.771	214.76	355.866	488.731	653.085	902.928
Alicante	Spain	103.833	120.597	180.879	246.374	273.464	283.377	322.958	365.086	396.62
Aligarh	India	139.477	181.763	246.555	315.735	467.772	653.294	891.035	1186.184	1502.317
Al-Iskandariyah(Alexandria)	Egypt	1037.462	1503.829	1987.188	2521.445	3055.905	3545.628	4332.57	5225.281	6312.644
Al-Ismailiyah	Egypt	77.633	115.289	144.849	167.163	227.075	268.312	308.419	355.914	440.891
Al-Kamishli	SyrianArabRepublic	24.346	33.949	47.336	86.5	125.28	190.126	305.163	460.78	583.512
Al-Khartum(Khartoum)	Sudan	182.686	346.586	657.414	1164.234	2360.035	3505.456	4517.078	5905.394	8158.384
AlKuwayt(KuwaitCity)	Kuwait	62.627	178.698	552.5	891.193	1391.862	1300.115	2101.856	3202.124	3914.503
Allahabad	India	326.964	423.369	506.401	639.839	829.958	1034.532	1204.808	1404.837	1754.767
